127.0.0.1 - - [08/Jan/2015:22:32:43 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:32:45 +0530] "GET /Expenditure_Template/ HTTP/1.1" 200 4587
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:32:45 +0530] "GET /Expenditure_Template/css/style.css HTTP/1.1" 200 10888
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:32:45 +0530] "GET /Expenditure_Template/js/modernizr-1.5.min.js HTTP/1.1" 200 11642
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:32:45 +0530] "GET /Expenditure_Template/js/backfix.min.js HTTP/1.1" 200 1965
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:32:45 +0530] "GET /Expenditure_Template/images/1.jpg HTTP/1.1" 200 45866
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:32:45 +0530] "GET /Expenditure_Template/images/2.jpg HTTP/1.1" 200 54320
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:32:45 +0530] "GET /Expenditure_Template/images/3.jpg HTTP/1.1" 200 34082
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:32:45 +0530] "GET /Expenditure_Template/images/4.jpg HTTP/1.1" 200 35995
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:32:45 +0530] "GET /Expenditure_Template/images/5.jpg HTTP/1.1" 200 15305
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:32:45 +0530] "GET /Expenditure_Template/js/jquery.js HTTP/1.1" 200 72174
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:32:45 +0530] "GET /Expenditure_Template/images/6.jpg HTTP/1.1" 200 31519
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:32:45 +0530] "GET /Expenditure_Template/js/jquery.easing-sooper.js HTTP/1.1" 200 5201
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:32:45 +0530] "GET /Expenditure_Template/js/jquery.sooperfish.js HTTP/1.1" 200 4248
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:32:45 +0530] "GET /Expenditure_Template/js/jquery.kwicks-1.5.1.js HTTP/1.1" 200 6019
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:32:46 +0530] "GET /Expenditure_Template/blank.html HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:32:46 +0530] "GET /Expenditure_Template/fonts/YanoneKaffeesatz-Regular.ttf HTTP/1.1" 200 86864
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:32:46 +0530] "GET /Expenditure_Template/images/pattern.png HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:32:46 +0530] "GET /Expenditure_Template/fonts/NewsCycle-Regular.ttf HTTP/1.1" 200 100480
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:32:46 +0530] "GET /Expenditure_Template/images/arrows-black.png HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:32:46 +0530] "GET /Expenditure_Template/blank.html?HistoryLoad HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:33:24 +0530] "GET /Expenditure_Template/ HTTP/1.1" 200 4587
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:33:24 +0530] "GET /Expenditure_Template/blank.html HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:33:24 +0530] "GET /Expenditure_Template/blank.html?HistoryLoad HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:33:37 +0530] "GET /Expenditure_Template/register.jsp HTTP/1.1" 200 9397
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:34:06 +0530] "GET /Expenditure_Template/blank.html?HistoryLoad HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:34:06 +0530] "GET /Expenditure_Template/blank.html?HistoryLoad HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:34:09 +0530] "GET /Expenditure_Template/another_page.jsp HTTP/1.1" 200 3864
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:35:21 +0530] "GET /Expenditure_Template/contact.jsp HTTP/1.1" 200 3551
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:35:29 +0530] "GET /Expenditure_Template/index.jsp HTTP/1.1" 200 4587
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:35:29 +0530] "GET /Expenditure_Template/blank.html HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:35:29 +0530] "GET /Expenditure_Template/blank.html?HistoryLoad HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:35:32 +0530] "GET /Expenditure_Template/index.jsp HTTP/1.1" 200 4587
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:35:33 +0530] "GET /Expenditure_Template/blank.html HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:35:33 +0530] "GET /Expenditure_Template/blank.html?HistoryLoad HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [08/Jan/2015:22:35:34 +0530] "GET /Expenditure_Template/another_page.jsp HTTP/1.1" 200 3864
