127.0.0.1 - - [15/Jul/2014:18:18:29 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:18:32 +0530] "GET /ArdentFinalProject/ HTTP/1.1" 200 3990
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:18:33 +0530] "GET /ArdentFinalProject/js/jquery.easing-sooper.js HTTP/1.1" 200 5201
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:18:33 +0530] "GET /ArdentFinalProject/js/jquery.js HTTP/1.1" 200 72174
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:18:33 +0530] "GET /ArdentFinalProject/js/modernizr-1.5.min.js HTTP/1.1" 200 11642
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:18:33 +0530] "GET /ArdentFinalProject/js/jquery.sooperfish.js HTTP/1.1" 200 4248
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:18:33 +0530] "GET /ArdentFinalProject/css/style.css HTTP/1.1" 200 9715
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:18:33 +0530] "GET /ArdentFinalProject/images/bullet.png HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:18:33 +0530] "GET /ArdentFinalProject/images/light.png HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:18:33 +0530] "GET /ArdentFinalProject/fonts/DroidSans-webfont.woff HTTP/1.1" 200 16636
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:18:33 +0530] "GET /ArdentFinalProject/fonts/NewsCycle-Regular.ttf HTTP/1.1" 200 100480
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:22:23 +0530] "GET /ArdentFinalProject/ HTTP/1.1" 200 5940
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:22:23 +0530] "GET /ArdentFinalProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:22:23 +0530] "GET /ArdentFinalProject/js/modernizr-1.5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:22:23 +0530] "GET /ArdentFinalProject/js/jquery.sooperfish.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:22:23 +0530] "GET /ArdentFinalProject/js/jquery.easing-sooper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:22:23 +0530] "GET /ArdentFinalProject/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:22:23 +0530] "GET /ArdentFinalProject/images/menubar.png HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:22:23 +0530] "GET /ArdentFinalProject/images/logo.jpg HTTP/1.1" 200 96155
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:22:23 +0530] "GET /ArdentFinalProject/images/arrows-white.png HTTP/1.1" 200 938
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:22:30 +0530] "GET /ArdentFinalProject/login.html HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:25:18 +0530] "GET /ArdentFinalProject/login.html HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:25:22 +0530] "GET /ArdentFinalProject/login.html HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:26:37 +0530] "GET /ArdentFinalProject/ HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:26:38 +0530] "GET /ArdentFinalProject/js/modernizr-1.5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:26:38 +0530] "GET /ArdentFinalProject/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:18:26:38 +0530] "GET /ArdentFinalProject/css/style.css HTTP/1.1" 304 -
