127.0.0.1 - - [27/Aug/2014:15:20:39 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Aug/2014:15:20:41 +0530] "GET /Expenditure_Template/ HTTP/1.1" 200 4587
0:0:0:0:0:0:0:1 - - [27/Aug/2014:15:20:41 +0530] "GET /Expenditure_Template/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2014:15:20:41 +0530] "GET /Expenditure_Template/js/modernizr-1.5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2014:15:20:41 +0530] "GET /Expenditure_Template/js/backfix.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2014:15:20:41 +0530] "GET /Expenditure_Template/js/jquery.sooperfish.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2014:15:20:41 +0530] "GET /Expenditure_Template/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2014:15:20:41 +0530] "GET /Expenditure_Template/js/jquery.kwicks-1.5.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2014:15:20:42 +0530] "GET /Expenditure_Template/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2014:15:20:42 +0530] "GET /Expenditure_Template/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2014:15:20:42 +0530] "GET /Expenditure_Template/images/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2014:15:20:42 +0530] "GET /Expenditure_Template/images/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2014:15:20:42 +0530] "GET /Expenditure_Template/js/jquery.easing-sooper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2014:15:20:42 +0530] "GET /Expenditure_Template/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2014:15:20:42 +0530] "GET /Expenditure_Template/images/6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2014:15:20:42 +0530] "GET /Expenditure_Template/fonts/NewsCycle-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2014:15:20:42 +0530] "GET /Expenditure_Template/fonts/YanoneKaffeesatz-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2014:15:20:42 +0530] "GET /Expenditure_Template/images/pattern.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2014:15:20:42 +0530] "GET /Expenditure_Template/images/arrows-black.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2014:15:20:42 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [27/Aug/2014:15:20:45 +0530] "GET /Expenditure_Template/register.jsp HTTP/1.1" 200 9397
0:0:0:0:0:0:0:1 - - [27/Aug/2014:15:21:54 +0530] "POST /Expenditure_Template/controller.jsp HTTP/1.1" 200 3693
0:0:0:0:0:0:0:1 - - [27/Aug/2014:15:22:17 +0530] "GET /Expenditure_Template/login.jsp HTTP/1.1" 200 3870
