127.0.0.1 - - [26/Sep/2014:12:37:51 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Sep/2014:12:37:55 +0530] "GET /Expenditure_Template/ HTTP/1.1" 200 4587
0:0:0:0:0:0:0:1 - - [26/Sep/2014:12:37:55 +0530] "GET /Expenditure_Template/js/modernizr-1.5.min.js HTTP/1.1" 200 11642
0:0:0:0:0:0:0:1 - - [26/Sep/2014:12:37:55 +0530] "GET /Expenditure_Template/css/style.css HTTP/1.1" 200 10888
0:0:0:0:0:0:0:1 - - [26/Sep/2014:12:37:55 +0530] "GET /Expenditure_Template/js/backfix.min.js HTTP/1.1" 200 1965
0:0:0:0:0:0:0:1 - - [26/Sep/2014:12:37:55 +0530] "GET /Expenditure_Template/js/jquery.easing-sooper.js HTTP/1.1" 200 5201
0:0:0:0:0:0:0:1 - - [26/Sep/2014:12:37:55 +0530] "GET /Expenditure_Template/js/jquery.js HTTP/1.1" 200 72174
0:0:0:0:0:0:0:1 - - [26/Sep/2014:12:37:55 +0530] "GET /Expenditure_Template/images/1.jpg HTTP/1.1" 200 45866
0:0:0:0:0:0:0:1 - - [26/Sep/2014:12:37:55 +0530] "GET /Expenditure_Template/js/jquery.sooperfish.js HTTP/1.1" 200 4248
0:0:0:0:0:0:0:1 - - [26/Sep/2014:12:37:55 +0530] "GET /Expenditure_Template/images/3.jpg HTTP/1.1" 200 34082
0:0:0:0:0:0:0:1 - - [26/Sep/2014:12:37:55 +0530] "GET /Expenditure_Template/js/jquery.kwicks-1.5.1.js HTTP/1.1" 200 6019
0:0:0:0:0:0:0:1 - - [26/Sep/2014:12:37:55 +0530] "GET /Expenditure_Template/images/4.jpg HTTP/1.1" 200 35995
0:0:0:0:0:0:0:1 - - [26/Sep/2014:12:37:55 +0530] "GET /Expenditure_Template/images/5.jpg HTTP/1.1" 200 15305
0:0:0:0:0:0:0:1 - - [26/Sep/2014:12:37:55 +0530] "GET /Expenditure_Template/images/6.jpg HTTP/1.1" 200 31519
0:0:0:0:0:0:0:1 - - [26/Sep/2014:12:37:56 +0530] "GET /Expenditure_Template/fonts/NewsCycle-Regular.ttf HTTP/1.1" 200 100480
0:0:0:0:0:0:0:1 - - [26/Sep/2014:12:37:56 +0530] "GET /Expenditure_Template/fonts/YanoneKaffeesatz-Regular.ttf HTTP/1.1" 200 86864
0:0:0:0:0:0:0:1 - - [26/Sep/2014:12:37:56 +0530] "GET /Expenditure_Template/images/2.jpg HTTP/1.1" 200 54320
0:0:0:0:0:0:0:1 - - [26/Sep/2014:12:37:56 +0530] "GET /Expenditure_Template/images/pattern.png HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [26/Sep/2014:12:37:56 +0530] "GET /Expenditure_Template/images/arrows-black.png HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [26/Sep/2014:12:38:01 +0530] "GET /Expenditure_Template/register.jsp HTTP/1.1" 200 9397
0:0:0:0:0:0:0:1 - - [26/Sep/2014:12:38:12 +0530] "GET /Expenditure_Template/another_page.jsp HTTP/1.1" 200 3859
